priority,job_id,job_name,site,blocker,next_action,responsible_role,assignee,needed_by,status,lookahead_bucket,escalation_flag,blocking_flag
High,J002,Walkway 002,"Warwick, RI",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-14,Open,Due / Overdue,Yes,Yes
High,J002,Walkway 002,"Warwick, RI",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-14,Open,Due / Overdue,Yes,No
High,J002,Walkway 002,"Warwick, RI",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-14,Open,Due / Overdue,Yes,No
High,J008,Paver Patio 008,"Newton, MA",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-14,Open,Due / Overdue,Yes,Yes
High,J008,Paver Patio 008,"Newton, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-14,Open,Due / Overdue,Yes,Yes
High,J008,Paver Patio 008,"Newton, MA",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-14,Open,Due / Overdue,Yes,No
High,J043,Paver Patio 043,"Quincy, MA",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-07-14,Open,Due / Overdue,Yes,Yes
High,J043,Paver Patio 043,"Quincy, MA",Very narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-14,Open,Due / Overdue,Yes,No
High,J043,Paver Patio 043,"Quincy, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-14,Open,Due / Overdue,Yes,No
High,J043,Paver Patio 043,"Quincy, MA",Crew may be small for the job size,Review crew plan and production assumption,Operations Manager,Unassigned,2026-07-14,Open,Due / Overdue,Yes,No
High,J024,Paver Patio 024,"Quincy, MA",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-15,Open,Due / Overdue,Yes,Yes
High,J024,Paver Patio 024,"Quincy, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-15,Open,Due / Overdue,Yes,Yes
High,J024,Paver Patio 024,"Quincy, MA",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-15,Open,Due / Overdue,Yes,No
