action_id,priority,job_id,job_name,site,blocker,next_action,responsible_role,assignee,needed_by,status,last_updated,lookahead_bucket,escalation_flag,blocking_flag,project_phase,planned_start_date,constraint_category,reason_code,source_field
A-J002-01,High,J002,Walkway 002,"Warwick, RI",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-16,Readiness gate,ACCESS_GATE,site_access_verified
A-J002-02,High,J002,Walkway 002,"Warwick, RI",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,SLOPE,risk_drivers
A-J002-03,High,J002,Walkway 002,"Warwick, RI",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,DRAINAGE,risk_drivers
A-J008-01,High,J008,Paver Patio 008,"Newton, MA",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-16,Readiness gate,PERMIT,permit_status
A-J008-02,High,J008,Paver Patio 008,"Newton, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-16,Readiness gate,MATERIAL,materials_status
A-J008-03,High,J008,Paver Patio 008,"Newton, MA",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,SLOPE,risk_drivers
A-J043-01,High,J043,Paver Patio 043,"Quincy, MA",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-16,Readiness gate,CREW,crew_assigned
A-J043-03,High,J043,Paver Patio 043,"Quincy, MA",Very narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,ACCESS_RISK,risk_drivers
A-J043-04,High,J043,Paver Patio 043,"Quincy, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,DRAINAGE,risk_drivers
A-J043-06,High,J043,Paver Patio 043,"Quincy, MA",Crew may be small for the job size,Review crew plan and production assumption,Operations Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,CREW_SIZE,risk_drivers
A-J024-01,High,J024,Paver Patio 024,"Quincy, MA",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-17,Readiness gate,ACCESS_GATE,site_access_verified
A-J024-02,High,J024,Paver Patio 024,"Quincy, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-17,Readiness gate,MATERIAL,materials_status
A-J024-03,High,J024,Paver Patio 024,"Quincy, MA",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-17,Site constraint,SLOPE,risk_drivers
A-J024-04,High,J024,Paver Patio 024,"Quincy, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-17,Site constraint,DRAINAGE,risk_drivers
A-J032-01,High,J032,Paver Patio 032,"Framingham, MA",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-17,Readiness gate,ACCESS_GATE,site_access_verified
A-J032-02,High,J032,Paver Patio 032,"Framingham, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-17,Readiness gate,MATERIAL,materials_status
A-J054-01,High,J054,Walkway 054,"Providence, RI",Scope is not approved,Confirm approved scope before mobilization,Estimator / Owner,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-18,Readiness gate,SCOPE,scope_approved
A-J054-02,High,J054,Walkway 054,"Providence, RI",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-18,Readiness gate,UTILITY,utility_locate_status
A-J059-01,High,J059,Paver Patio 059,"Worcester, MA",Scope is not approved,Confirm approved scope before mobilization,Estimator / Owner,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-18,Readiness gate,SCOPE,scope_approved
A-J059-02,High,J059,Paver Patio 059,"Worcester, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-18,Readiness gate,UTILITY,utility_locate_status
A-J059-03,High,J059,Paver Patio 059,"Worcester, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-18,Readiness gate,MATERIAL,materials_status
A-J059-04,High,J059,Paver Patio 059,"Worcester, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-18,Site constraint,DRAINAGE,risk_drivers
A-J059-06,High,J059,Paver Patio 059,"Worcester, MA",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-18,Site constraint,CARRY,risk_drivers
A-J059-07,High,J059,Paver Patio 059,"Worcester, MA",Crew may be small for the job size,Review crew plan and production assumption,Operations Manager,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-18,Site constraint,CREW_SIZE,risk_drivers
