job_id,state,city,job_type,workability_status,risk_score,risk_category,estimated_margin_pct,actual_margin_pct,cost_variance,primary_risk_reason,recommended_action,priority,owner_role,field_notes_required
J011,RI,Providence,Paver Patio,Requires Site Review,87,High Risk,0.421,0.362,1217.3,Narrow site access; Drainage concern,Schedule site review before approval,High,Work Lead / Project Manager,Yes
J005,RI,Warwick,Paver Patio,Requires Site Review,82,High Risk,0.491,0.391,1453.64,Narrow site access; Drainage concern,Schedule site review before approval,High,Work Lead / Project Manager,Yes
J010,RI,Newport,Paver Patio,Review Before Approval,78,High Risk,0.366,0.219,972.0,Narrow site access; Drainage concern,Confirm drainage plan before scheduling,High,Work Lead,Yes
J032,RI,Providence,Paver Patio,Review Before Approval,77,High Risk,0.435,0.345,1858.2,Narrow site access; Drainage concern,Confirm drainage plan before scheduling,High,Work Lead,Yes
J041,RI,Cranston,Walkway,Review Before Approval,69,High Risk,0.476,0.311,1460.6,Narrow site access; Drainage concern,Confirm drainage plan before scheduling,High,Work Lead,Yes
J008,MA,Braintree,Paver Patio,Review Before Approval,65,High Risk,0.339,0.187,2797.85,Narrow site access; Drainage concern,Confirm drainage plan before scheduling,High,Work Lead,Yes
J014,MA,Weymouth,Paver Patio,Review Before Approval,60,Needs Review,0.438,0.489,-652.3,Drainage concern; Long material carry distance,Confirm drainage plan before scheduling,High,Work Lead,Yes
J030,MA,Weymouth,Walkway,Workable,59,Needs Review,0.39,0.347,299.77,Narrow site access; Drainage concern,Confirm drainage plan before scheduling,Low,Work Lead,No
J031,MA,Weymouth,Walkway,Workable,57,Needs Review,0.435,0.464,-195.49,Narrow site access; Drainage concern,Confirm drainage plan before scheduling,Low,Work Lead,No
J033,RI,Cranston,Paver Patio,Workable,57,Needs Review,0.428,0.317,1584.51,Narrow site access; Drainage concern,Confirm drainage plan before scheduling,Low,Work Lead,No
J040,MA,Boston,Small Retaining Wall,Workable,57,Needs Review,0.449,0.374,1359.29,Narrow site access; Drainage concern,Confirm drainage plan before scheduling,Low,Work Lead,No
J050,MA,Weymouth,Paver Patio,Workable,57,Needs Review,0.45,0.391,500.02,Drainage concern; Demolition required,Confirm drainage plan before scheduling,Low,Work Lead,No
